_id,MonthEnding,HBT,HBTQF,PatientType,WaitType,Specialty,SpecialtyQF,Waits,WaitsQF,WaitsOver12Weeks,WaitsOver12WeeksQF,WaitsOver52Weeks,WaitsOver52WeeksQF,WaitsOver78Weeks,WaitsOver78WeeksQF,WaitsOver104Weeks,WaitsOver104WeeksQF,Median,MedianQF,90thPercentile,90thPercentileQF
1,20250228,S92000003,d,New Outpatient,Completed,Z9,d,103626,,40588,,9864,,2760,,598,,48,,360,
2,20240229,S92000003,d,New Outpatient,Completed,Z9,d,109966,,44249,,8198,,2116,,264,,48,,327,
3,20240430,S92000003,d,New Outpatient,Completed,Z9,d,101046,,34088,,5713,,1075,,114,,42,,301,
4,20250430,S92000003,d,New Outpatient,Completed,Z9,d,103116,,35209,,8306,,2245,,542,,43,,342,
5,20240630,S92000003,d,New Outpatient,Completed,Z9,d,101319,,35604,,7053,,1331,,184,,42,,322,
6,20250630,S92000003,d,New Outpatient,Completed,Z9,d,110047,,40705,,10206,,2854,,798,,47,,359,
7,20240930,S92000003,d,New Outpatient,Completed,Z9,d,106501,,41089,,9854,,2267,,327,,48,,356,
8,20250930,S92000003,d,New Outpatient,Completed,Z9,d,117272,,44974,,11958,,2909,,719,,48,,367,
9,20231130,S92000003,d,New Outpatient,Completed,Z9,d,117318,,45403,,8484,,1505,,169,,49,,318,
10,20241130,S92000003,d,New Outpatient,Completed,Z9,d,111347,,42156,,9870,,2797,,508,,46,,351,
11,20251130,S92000003,d,New Outpatient,Completed,Z9,d,113161,,45660,,11901,,2868,,1126,,52,,371,
12,20240131,S92000003,d,New Outpatient,Completed,Z9,d,109596,,42463,,7057,,1632,,130,,50,,317,
13,20250131,S92000003,d,New Outpatient,Completed,Z9,d,106128,,40110,,8523,,2758,,516,,49,,344,
14,20240331,S92000003,d,New Outpatient,Completed,Z9,d,106126,,39747,,7847,,1651,,168,,43,,323,
15,20250331,S92000003,d,New Outpatient,Completed,Z9,d,114209,,44670,,12183,,3661,,889,,46,,373,
16,20240531,S92000003,d,New Outpatient,Completed,Z9,d,112768,,39522,,7568,,1502,,178,,42,,318,
17,20250531,S92000003,d,New Outpatient,Completed,Z9,d,110889,,38650,,9554,,2567,,612,,45,,351,
18,20240731,S92000003,d,New Outpatient,Completed,Z9,d,102640,,34210,,7297,,1351,,219,,40,,322,
19,20250731,S92000003,d,New Outpatient,Completed,Z9,d,107749,,39583,,10629,,3128,,1283,,45,,364,
20,20240831,S92000003,d,New Outpatient,Completed,Z9,d,107240,,38910,,8418,,1728,,216,,45,,342,
21,20250831,S92000003,d,New Outpatient,Completed,Z9,d,107038,,39333,,10752,,3400,,1112,,47,,365,
22,20241031,S92000003,d,New Outpatient,Completed,Z9,d,111926,,41202,,8992,,2379,,433,,44,,344,
23,20251031,S92000003,d,New Outpatient,Completed,Z9,d,118075,,44934,,11925,,2964,,942,,48,,366,
24,20231231,S92000003,d,New Outpatient,Completed,Z9,d,91272,,34105,,6829,,1262,,113,,44,,318,
25,20241231,S92000003,d,New Outpatient,Completed,Z9,d,96049,,34266,,8180,,2062,,366,,41,,343,
26,20250228,RA2704,,New Outpatient,Completed,Z9,d,13,,1,,0,,0,,0,,,:,,:
27,20240229,RA2704,,New Outpatient,Completed,Z9,d,4,,0,,0,,0,,0,,,:,,:
28,20240430,RA2704,,New Outpatient,Completed,Z9,d,2,,0,,0,,0,,0,,,:,,:
29,20250430,RA2704,,New Outpatient,Completed,Z9,d,20,,0,,0,,0,,0,,26,,55.3,
30,20240630,RA2704,,New Outpatient,Completed,Z9,d,6,,0,,0,,0,,0,,,:,,:
31,20250630,RA2704,,New Outpatient,Completed,Z9,d,60,,1,,0,,0,,0,,2,,28.1,
32,20240930,RA2704,,New Outpatient,Completed,Z9,d,16,,2,,0,,0,,0,,,:,,:
33,20250930,RA2704,,New Outpatient,Completed,Z9,d,57,,0,,0,,0,,0,,4,,26.2,
34,20231130,RA2704,,New Outpatient,Completed,Z9,d,14,,0,,0,,0,,0,,,:,,:
35,20241130,RA2704,,New Outpatient,Completed,Z9,d,16,,1,,0,,0,,0,,,:,,:
36,20251130,RA2704,,New Outpatient,Completed,Z9,d,70,,0,,0,,0,,0,,4,,34.1,
37,20240131,RA2704,,New Outpatient,Completed,Z9,d,4,,1,,0,,0,,0,,,:,,:
38,20250131,RA2704,,New Outpatient,Completed,Z9,d,6,,0,,0,,0,,0,,,:,,:
39,20240331,RA2704,,New Outpatient,Completed,Z9,d,3,,0,,0,,0,,0,,,:,,:
40,20250331,RA2704,,New Outpatient,Completed,Z9,d,13,,0,,0,,0,,0,,,:,,:
41,20240531,RA2704,,New Outpatient,Completed,Z9,d,10,,0,,0,,0,,0,,,:,,:
42,20250531,RA2704,,New Outpatient,Completed,Z9,d,31,,1,,0,,0,,0,,5,,41,
43,20240731,RA2704,,New Outpatient,Completed,Z9,d,16,,0,,0,,0,,0,,,:,,:
44,20250731,RA2704,,New Outpatient,Completed,Z9,d,83,,3,,0,,0,,0,,7,,22.8,
45,20240831,RA2704,,New Outpatient,Completed,Z9,d,10,,1,,1,,0,,0,,,:,,:
46,20250831,RA2704,,New Outpatient,Completed,Z9,d,54,,0,,0,,0,,0,,4.5,,16,
47,20241031,RA2704,,New Outpatient,Completed,Z9,d,8,,0,,0,,0,,0,,,:,,:
48,20251031,RA2704,,New Outpatient,Completed,Z9,d,53,,0,,0,,0,,0,,2,,38,
49,20231231,RA2704,,New Outpatient,Completed,Z9,d,2,,0,,0,,0,,0,,,:,,:
50,20241231,RA2704,,New Outpatient,Completed,Z9,d,5,,0,,0,,0,,0,,,:,,:
51,20250228,S08000015,,New Outpatient,Completed,Z9,d,8039,,2830,,992,,427,,203,,38,,434,
52,20240229,S08000015,,New Outpatient,Completed,Z9,d,9210,,4120,,1261,,392,,92,,66,,399,
53,20240430,S08000015,,New Outpatient,Completed,Z9,d,8796,,2862,,491,,96,,40,,43,,255.5,
54,20250430,S08000015,,New Outpatient,Completed,Z9,d,8038,,2608,,1047,,549,,168,,41,,458.3,
55,20240630,S08000015,,New Outpatient,Completed,Z9,d,7960,,2704,,533,,128,,39,,40,,302,
56,20250630,S08000015,,New Outpatient,Completed,Z9,d,9256,,3536,,1282,,570,,323,,52,,462,
57,20240930,S08000015,,New Outpatient,Completed,Z9,d,8287,,3107,,687,,153,,53,,45,,321,
58,20250930,S08000015,,New Outpatient,Completed,Z9,d,10077,,4110,,1592,,763,,198,,56,,496,
59,20231130,S08000015,,New Outpatient,Completed,Z9,d,9404,,3552,,912,,139,,16,,47,,363,
60,20241130,S08000015,,New Outpatient,Completed,Z9,d,9395,,3295,,994,,499,,248,,45,,378,
61,20251130,S08000015,,New Outpatient,Completed,Z9,d,11100,,4992,,1989,,758,,306,,67,,491,
62,20240131,S08000015,,New Outpatient,Completed,Z9,d,9125,,3819,,948,,195,,41,,59,,368,
63,20250131,S08000015,,New Outpatient,Completed,Z9,d,8586,,2991,,983,,536,,162,,46,,422,
64,20240331,S08000015,,New Outpatient,Completed,Z9,d,8485,,3113,,883,,199,,32,,43,,366,
65,20250331,S08000015,,New Outpatient,Completed,Z9,d,10334,,4422,,2186,,1162,,421,,55,,588,
66,20240531,S08000015,,New Outpatient,Completed,Z9,d,8861,,2876,,797,,226,,75,,38,,355,
67,20250531,S08000015,,New Outpatient,Completed,Z9,d,9090,,3332,,1328,,743,,227,,48,,472,
68,20240731,S08000015,,New Outpatient,Completed,Z9,d,8125,,2563,,652,,275,,83,,37,,322,
69,20250731,S08000015,,New Outpatient,Completed,Z9,d,9571,,3862,,1722,,1079,,615,,55,,590,
70,20240831,S08000015,,New Outpatient,Completed,Z9,d,8461,,2791,,645,,123,,23,,41,,305,
71,20250831,S08000015,,New Outpatient,Completed,Z9,d,9095,,3197,,1304,,654,,219,,48,,481,
72,20241031,S08000015,,New Outpatient,Completed,Z9,d,9798,,3676,,852,,458,,248,,47,,307,
73,20251031,S08000015,,New Outpatient,Completed,Z9,d,11161,,4856,,2330,,908,,247,,65,,514,
74,20231231,S08000015,,New Outpatient,Completed,Z9,d,7061,,2590,,661,,96,,26,,40,,356,
75,20241231,S08000015,,New Outpatient,Completed,Z9,d,7584,,2411,,736,,434,,147,,37,,342,
76,20250228,S08000016,,New Outpatient,Completed,Z9,d,1809,,717,,235,,29,,4,,49,,411,
77,20240229,S08000016,,New Outpatient,Completed,Z9,d,1959,,919,,312,,122,,72,,70,,453.2,
78,20240430,S08000016,,New Outpatient,Completed,Z9,d,1704,,701,,115,,38,,10,,49,,326.7,
79,20250430,S08000016,,New Outpatient,Completed,Z9,d,1879,,824,,326,,89,,48,,58,,417,
80,20240630,S08000016,,New Outpatient,Completed,Z9,d,1815,,730,,186,,59,,16,,53,,369,
81,20250630,S08000016,,New Outpatient,Completed,Z9,d,1832,,807,,278,,38,,2,,63,,384.9,
82,20240930,S08000016,,New Outpatient,Completed,Z9,d,1926,,854,,279,,29,,5,,59,,398,
83,20250930,S08000016,,New Outpatient,Completed,Z9,d,2122,,1056,,458,,39,,24,,83,,417,
84,20231130,S08000016,,New Outpatient,Completed,Z9,d,1756,,690,,229,,44,,3,,58,,399,
85,20241130,S08000016,,New Outpatient,Completed,Z9,d,1864,,885,,337,,38,,1,,68.5,,414,
86,20251130,S08000016,,New Outpatient,Completed,Z9,d,1907,,816,,246,,20,,18,,51,,386,
87,20240131,S08000016,,New Outpatient,Completed,Z9,d,1998,,910,,252,,42,,0,,69,,396.6,
88,20250131,S08000016,,New Outpatient,Completed,Z9,d,1937,,845,,260,,55,,4,,57,,404.4,
89,20240331,S08000016,,New Outpatient,Completed,Z9,d,1803,,793,,251,,77,,31,,53,,414.8,
90,20250331,S08000016,,New Outpatient,Completed,Z9,d,2036,,873,,452,,134,,40,,50,,490.5,
91,20240531,S08000016,,New Outpatient,Completed,Z9,d,1835,,722,,145,,32,,5,,55,,322,
92,20250531,S08000016,,New Outpatient,Completed,Z9,d,1960,,899,,409,,69,,5,,69,,413,
93,20240731,S08000016,,New Outpatient,Completed,Z9,d,1836,,725,,267,,64,,5,,49,,433.5,
94,20250731,S08000016,,New Outpatient,Completed,Z9,d,1748,,679,,172,,26,,1,,42.5,,363.3,
95,20240831,S08000016,,New Outpatient,Completed,Z9,d,1942,,808,,337,,76,,7,,54,,446,
96,20250831,S08000016,,New Outpatient,Completed,Z9,d,1564,,601,,181,,26,,17,,45,,372,
97,20241031,S08000016,,New Outpatient,Completed,Z9,d,1949,,811,,216,,40,,7,,51,,377.2,
98,20251031,S08000016,,New Outpatient,Completed,Z9,d,2402,,1143,,322,,56,,55,,64,,382,
99,20231231,S08000016,,New Outpatient,Completed,Z9,d,1519,,652,,215,,63,,2,,61,,414,
100,20241231,S08000016,,New Outpatient,Completed,Z9,d,1652,,781,,226,,31,,3,,65,,399.9,
101,20250228,S08000017,,New Outpatient,Completed,Z9,d,2444,,910,,109,,6,,2,,41,,339,
102,20240229,S08000017,,New Outpatient,Completed,Z9,d,2525,,936,,34,,0,,0,,35,,285.6,
103,20240430,S08000017,,New Outpatient,Completed,Z9,d,2275,,621,,23,,0,,0,,36,,261.6,
104,20250430,S08000017,,New Outpatient,Completed,Z9,d,2438,,871,,89,,0,,0,,42,,341,
105,20240630,S08000017,,New Outpatient,Completed,Z9,d,2459,,805,,47,,1,,0,,38,,293,
106,20250630,S08000017,,New Outpatient,Completed,Z9,d,2574,,930,,134,,0,,0,,42,,348,
107,20240930,S08000017,,New Outpatient,Completed,Z9,d,2507,,810,,19,,0,,0,,38,,293,
